FID IID Pt_1
/01/07/72C /01/07/72C -3.13500633       
/08/07/92C /08/07/92C -3.17883741       
/09/03/93C /09/03/93C -3.15161635       
/16/12/91C /16/12/91C -3.17715651       
/23/12/94C /23/12/94C -3.15773289       
/25/04/70C /25/04/70C -3.20705993       
MR001 MR001           -3.19074474       
MR002 MR002           -3.14513821       
MR003 MR003           -3.16655827       
MR004 MR004           -3.17186658       
MR006 MR006           -3.13484114       
MR007 MR007           -3.17217257       
MR008 MR008           -3.17204623       
MR009 MR009           -3.18559539       
MR010 MR010           -3.14479428       
MR011 MR011           -3.15131691       
MR012 MR012           -3.19581299       
MR014 MR014           -3.16443428       
MR015 MR015           -3.17150322       
MR016 MR016           -3.17099239       
MR017 MR017           -3.22358076       
MR018 MR018           -3.13547974       
MR019 MR019           -3.15903229       
MR020 MR020           -3.16017365       
MR021 MR021           -3.18987876       
MR022 MR022           -3.19023008       
MR023 MR023           -3.18290542       
MR024 MR024           -3.14034196       
MR025 MR025           -3.19254764       
MR026 MR026           -3.14443567       
MR027 MR027           -3.15522778       
MS202 MS202           -3.17569792       
MS204 MS204           -3.1807395        
MS208 MS208           -3.17410486       
MS210 MS210           -3.20489027       
MS212 MS212           -3.18392366       
MS214 MS214           -3.17724189       
MS215 MS215           -3.18416796       
MS216 MS216           -3.19215708       
MS217 MS217           -3.16519876       
MS218 MS218           -3.19883643       
MS219 MS219           -3.16398707       
MS220 MS220           -3.16445035       
MS221 MS221           -3.15878288       
MS222 MS222           -3.1500434        
MS223 MS223           -3.15004201       
MS225 MS225           -3.17670016       
MS227 MS227           -3.20608938       
MS228 MS228           -3.16850907       
MS229 MS229           -3.22348237       
MS230 MS230           -3.19019774       
MS231 MS231           -3.19162186       
MS232 MS232           -3.16974047       
MS233 MS233           -3.16332147       
MS236 MS236           -3.16121916       
MS239 MS239           -3.18196043       
MS240 MS240           -3.16220627       
MS241 MS241           -3.17432576       
MS242 MS242           -3.19741836       
MS246 MS246           -3.17204919       
MS250 MS250           -3.17788609       
MS251 MS251           -3.23700317       
MS257 MS257           -3.14026031       
MS264 MS264           -3.17991659       
MS265 MS265           -3.14638229       
MS266 MS266           -3.14626028       
MS268 MS268           -3.15714206       
MS269 MS269           -3.18025246       
MS272 MS272           -3.14196598       
MS273 MS273           -3.15458856       
MS274 MS274           -3.17538658       
MS276 MS276           -3.18508502       
MS277 MS277           -3.17473463       
MS278 MS278           -3.18585242       
MS279 MS279           -3.18042766       
MS281 MS281           -3.17009827       
MS283 MS283           -3.1853916        
MS284 MS284           -3.18345746       
MS285 MS285           -3.19887158       
MS287 MS287           -3.13683075       
MS288 MS288           -3.15755017       
MS289 MS289           -3.13046667       
MS290 MS290           -3.17461112       
MS291 MS291           -3.19976952       
MS292 MS292           -3.20123744       
MS293 MS293           -3.15502587       
MS295 MS295           -3.17108677       
MS296 MS296           -3.18860953       
MS297 MS297           -3.18393648       
MS298 MS298           -3.20472398       
MS299 MS299           -3.19677932       
MS300 MS300           -3.16090237       
MS301 MS301           -3.19603651       
MS302 MS302           -3.18538692       
MS303 MS303           -3.17510483       
MS304 MS304           -3.17588037       
MS305 MS305           -3.1565904        
Z400 Z400             -3.17282417       
Z402 Z402             -3.13551887       
Z404 Z404             -3.15916741       
Z405 Z405             -3.13315868       
Z406 Z406             -3.1786274        
Z408 Z408             -3.12848187       
Z410 Z410             -3.31294565       
Z411 Z411             -3.20390142       
Z412 Z412             -3.16660012       
Z416 Z416             -3.1629276        
Z419 Z419             -3.14399381       
Z421 Z421             -3.47514553       
Z422 Z422             -3.15514608       
Z427 Z427             -3.20160109       
Z432 Z432             -3.16075943       
Z433 Z433             -3.17424253       
Z436 Z436             -3.17276266       
Z440 Z440             -3.17376566       
Z441 Z441             -3.14238772       
Z445 Z445             -3.17708246       
Z446 Z446             -3.12054472       
Z447 Z447             -3.15277264       
Z453 Z453             -3.15015691       
Z455 Z455             -3.13821974       
Z457 Z457             -3.16846714       
Z458 Z458             -3.36925409       
Z459 Z459             -3.16522231       
Z460 Z460             -3.144918         
Z461 Z461             -3.17314231       
Z462 Z462             -3.15521815       
Z465 Z465             -3.16039939       
Z466 Z466             -3.18825991       
Z467 Z467             -3.17203351       
Z468 Z468             -3.19501574       
Z469 Z469             -3.19001772       
Z470 Z470             -3.16547617       
Z471 Z471             -3.15192735       
Z474 Z474             -3.17515758       
Z475 Z475             -3.13992817       
Z476 Z476             -3.131815         
Z477 Z477             -3.17605782       
Z478 Z478             -3.14746473       
Z480 Z480             -3.19772832       
Z482 Z482             -3.17785549       
Z484 Z484             -3.10903312       
Z486 Z486             -3.19308574       
Z487 Z487             -3.19197818       
