VARIABLE,beta,SE,ci.lo,ci.hi,t-value,pvalue
BMIz__Orbegozo__T1,29584959.706483,11468827.007519,7106058.771746,52063860.641219,2.579598,0.010985969361547
HDLc__mg_dl__T1,-182269461.973772,79572824.828444,-338232198.637523,-26306725.310021,-2.290599,0.023584089629392
TAG__mg_dl__T1,333012858.268211,163871716.324707,11824294.271785,654201422.264637,2.032156,0.044159496007103
Protein__g_dl__T1,-4772249.922185,2433229.767511,-9541380.266507,-3119.577863,-1.961282,0.051967149223063
bmi_zscore_T2,19851626.812517,10534095.10056,-795199.584581,40498453.209615,1.884512,0.061694693891645
bmi_T2,71759102.394924,38090687.32661,-2898644.765231,146416849.555079,1.883901,0.061777906678957
bmi_zscore_T2,0,0,0,0,1.800797,0.074035538963816
Insulin__mU_l__T1,68114030.957526,37898401.321191,-6166835.632009,142394897.547062,1.79728,0.074594909057483
Light_20m15sEven_T1,-533892209.223836,313113178.511236,-1147594039.10586,79809620.658187,-1.705109,0.090544292101974
HOMA_T1,13788548.969858,8243577.145067,-2368862.234474,29945960.17419,1.672641,0.096784518422791
Ferritin__ng_ml__T1,-225163309.341896,138576937.719039,-496774107.271213,46447488.58742,-1.624825,0.106603393561832
Creatinine__mg_dl__T1,823998.162627,507841.176359,-171370.543037,1819366.868291,1.622551,0.107089630820828
Urea__mg_dl__T1,-61159758.568279,39449374.330425,-138480532.255912,16161015.119354,-1.550335,0.12347360454772
mvpa_20m15sEven_T1,352485775.803957,265281546.657798,-167466055.645327,872437607.253241,1.328723,0.186249126860938
Vigorous_20m15sEven_T1,342343389.926056,262954133.470282,-173046711.675698,857733491.527809,1.301913,0.195230767530328
insulin_T2,-65269425.126605,52228806.26461,-167637885.405241,37099035.152031,-1.249682,0.213678093508217
homa_T2,-14390485.486889,12308276.937343,-38514708.284082,9733737.310304,-1.169171,0.244490446728838
QUICKI_T1,-305671.019197,262410.21517,-819995.040931,208653.002537,-1.164859,0.246192716216746
hdl_T2,-94464113.43935,82213052.709792,-255601696.750543,66673469.871843,-1.149016,0.25269194222543
WC_T1,67178309.14425,61816011.136374,-53981072.683043,188337690.971543,1.086746,0.279144618865148
Iron__ug_dl__T1,207249152.623014,195109833.355576,-175166120.753914,589664425.999942,1.062218,0.290091066182994
WC_Height_T1,397491.038715,377205.857447,-341832.441881,1136814.51931,1.053777,0.293924547738503
LDLc__mg_dl__T1,168966766.076973,172501595.06411,-169136360.248682,507069892.402628,0.979508,0.329134295992313
Sedentary_20m15sEven_T1,432656211.5835,443188214.450034,-435992688.738566,1301305111.90557,0.976236,0.330746930590235
sbp_T2,-81626503.181501,84724008.743803,-247685560.319355,84432553.956353,-0.96344,0.33718686215872
Leptin__ug_l__T1,55225069.070726,61667549.659083,-65643328.261076,176093466.402528,0.895529,0.372147028876387
GGT_U_l__T1,-21089873.675179,23953945.824756,-68039607.4917,25859860.141342,-0.880434,0.380236489678897
Altered_components_Metabolic_Health,-5772955.663802,6918580.471156,-19333373.387268,7787462.059664,-0.834413,0.405652748603398
Moderate_20m15sEven_T2,-59326162.152393,76475262.092948,-209217675.854572,90565351.549786,-0.775756,0.439291157541465
weight_T2,32263733.029963,46549364.996639,-58973022.36345,123500488.423376,0.693108,0.489468834178096
SBP_T1,-47705641.301168,78545701.958183,-201655217.139207,106243934.536871,-0.607362,0.544662334178533
dbp_T2,-39847813.530398,65840877.722647,-168895933.866787,89200306.805991,-0.605214,0.546134082788243
mvpa_20m15sEven_T2,-62268892.173248,116741583.662727,-291082396.152193,166544611.805697,-0.533391,0.594666864536364
Altered_components_Metabolic_Syndrome,-2703021.282132,5791477.312258,-14054316.814158,8648274.249894,-0.466724,0.641516359585384
CHOL__mg_dl__T1,91989730.4799,200639652.895511,-301263989.195301,485243450.155101,0.458482,0.64736568096617
tg_T2,97192518.777235,219009235.521186,-332065582.844289,526450620.398759,0.443783,0.657948948602176
glucose_T2,55412986.505876,127371603.925291,-194235357.187694,305061330.199447,0.43505,0.664242183853214
Moderate_20m15sEven_T1,27552463.82261,72214844.896173,-113988632.173889,169093559.819108,0.381535,0.703424718999894
wc_T2,15550623.954128,45593141.037361,-73811932.4791,104913180.387356,0.341074,0.733607274519952
DBP_T1,18845083.380024,57771142.093733,-94386355.123693,132076521.883742,0.326202,0.744791785469513
Obesity_Cole,1368144.890291,4531961.039333,-7514498.746802,10250788.527384,0.301888,0.763216139249365
quicki_T2,52490.763756,184041.277662,-308230.140462,413211.667974,0.285212,0.775939209870684
pubertalstage_T2,0,0,0,0,-0.220997,0.825438474461323
Sedentary_20m15sEven_T2,137030844.151771,714565885.955242,-1263518292.3205,1537579980.62404,0.191768,0.848220897363648
Vigorous_20m15sEven_T2,-11979550.382012,62910657.623365,-135284439.323807,111325338.559783,-0.190422,0.849273519430317
Glucose__mg_dl__T1,-6687363.171797,46230008.542759,-97298179.915605,83923453.572012,-0.144654,0.885206244506569
Alkaline_phos_U_l__T1,-99937021.382294,748887206.222471,-1567755945.57834,1367881902.81375,-0.133447,0.894044374714867
Light_20m15sEven_T2,28484766.089893,308314955.392716,-575812546.47983,632782078.659617,0.092389,0.926530488585542
bmi_T2,265004.901877,3468901.871858,-6534042.766965,7064052.570719,0.076394,0.939221822706849
Uric_acid__mg_dl__T1,418460.081701,5714624.402896,-10782203.747974,11619123.911377,0.073226,0.941737828063552
