VARIABLE,beta,SE,ci.lo,ci.hi,t-value,pvalue
Glucose__mg_dl__T1,16146704.789381,6655209.627286,3102493.9199,29190915.658862,2.426175,0.016620059209086
insulin_T2,-10538263.59652,7545405.608371,-25327258.588926,4250731.395887,-1.396646,0.164918216579237
LDLc__mg_dl__T1,33773863.39391,25304169.22078,-15822308.27882,83370035.06664,1.334715,0.184284658400097
CHOL__mg_dl__T1,37034914.41629,29369220.276312,-20528757.325281,94598586.15786,1.261011,0.209545970639401
bmi_T2,-617409.692885,507586.898378,-1612280.013706,377460.627937,-1.216363,0.226033960088997
Protein__g_dl__T1,-431824.058709,361293.235816,-1139958.800909,276310.683491,-1.195218,0.234161251494683
Iron__ug_dl__T1,34006019.944815,28679449.51113,-22205701.096999,90217740.986628,1.185728,0.237876114030869
GGT_U_l__T1,-3750465.721747,3519912.809458,-10649494.828285,3148563.384791,-1.0655,0.28860979033851
Light_20m15sEven_T2,-47336441.959102,45179783.891097,-135888818.385652,41215934.467448,-1.047735,0.296689944058114
homa_T2,-1838800.084263,1782876.715857,-5333238.447343,1655638.278817,-1.031367,0.304298574025769
Moderate_20m15sEven_T2,-10930910.964026,11238314.23482,-32958006.864274,11096184.936222,-0.972647,0.332521396062651
SBP_T1,11026128.509448,11533758.587994,-11580038.323019,33632295.341916,0.955987,0.340839431409182
DBP_T1,7163285.529342,8481163.875104,-9459795.665861,23786366.724546,0.844611,0.399867837006654
Vigorous_20m15sEven_T1,-32755987.69946,38836768.043194,-108876053.064121,43364077.665201,-0.843427,0.400526986976843
Leptin__ug_l__T1,-7323328.377555,9079327.992496,-25118811.242847,10472154.487737,-0.806594,0.421362551621446
Sedentary_20m15sEven_T2,-82977067.944087,104909832.853757,-288600340.337451,122646204.449277,-0.790937,0.430410384610884
mvpa_20m15sEven_T1,-30883344.529917,39204442.619456,-107724052.06405,45957363.004216,-0.787751,0.432265326785886
dbp_T2,7533577.689429,9702431.162506,-11483187.389082,26550342.767941,0.776463,0.438942498051257
Altered_components_Metabolic_Health,-771172.355684,1006029.304414,-2742989.792336,1200645.080969,-0.766551,0.4448056621455
quicki_T2,19052.088344,26583.218966,-33051.020829,71155.197517,0.716696,0.474857226491283
Vigorous_20m15sEven_T2,6580172.224823,9240444.196628,-11531098.400568,24691442.850214,0.712106,0.477665685928604
Uric_acid__mg_dl__T1,-510943.901919,839713.623519,-2156782.604016,1134894.800179,-0.608474,0.543926752924081
bmi_T2,-3425245.590813,5742647.751389,-14680835.183535,7830344.00191,-0.596458,0.551891143141067
TAG__mg_dl__T1,14480670.347907,24457431.964955,-33455896.303404,62417236.999219,0.592076,0.55481987172326
Creatinine__mg_dl__T1,41480.518993,75386.707849,-106277.428391,189238.466377,0.550237,0.583094161553729
bmi_zscore_T2,-779882.927972,1588849.508643,-3894027.964913,2334262.108968,-0.490848,0.624349290721495
Moderate_20m15sEven_T1,5120837.48378,10622585.613118,-15699430.317932,25941105.285491,0.482071,0.630560155776315
