VARIABLE,beta,SE,ci.lo,ci.hi,t-value,pvalue
bmi_zscore_T2,49017558.772694,15492821.825592,18651627.994533,79383489.550855,3.163888,0.0019295422213
bmi_T2,187466375.349885,56681875.244689,76369899.870294,298562850.829475,3.307343,0.001213679508963
bmi_zscore_T2,48845442.989008,15748486.154298,17978410.126584,79712475.851432,3.101596,0.002354169026401
BMIz__Orbegozo__T1,50956914.759347,17405629.110305,16841881.703149,85071947.815545,2.927611,0.004024106518902
bmi_T2,12376945.577201,5309300.113402,1970717.354933,22783173.79947,2.331182,0.021270435125069
LDLc__mg_dl__T1,536593227.523343,266325521.946663,14595204.507883,1058591250.5388,2.014802,0.045972276978064
CHOL__mg_dl__T1,561694147.521661,309773397.486143,-45461711.551179,1168850006.5945,1.813242,0.072083814292308
HOMA_T1,19719293.235871,12898107.884922,-5560998.218576,44999584.690317,1.528852,0.128712315437058
Insulin__mU_l__T1,87348197.135145,59432081.029707,-29138681.68308,203835075.95337,1.469715,0.144036643267835
Altered_components_Metabolic_Health,-14555071.977249,10784152.36854,-35692010.619587,6581866.665089,-1.349672,0.179579971920688
TAG__mg_dl__T1,339311769.480178,258263500.228118,-166884690.966933,845508229.92729,1.31382,0.191202915593361
SBP_T1,158066288.465994,122076911.073173,-81204457.237425,397337034.169413,1.294809,0.197663606825718
weight_T2,92933704.711256,72386124.023846,-48943098.375481,234810507.797994,1.283861,0.201456837538047
Moderate_20m15sEven_T2,149638143.438094,119007161.903416,-83615893.892602,382892180.76879,1.257388,0.210850284316665
QUICKI_T1,-507885.055579,409587.226258,-1310676.019044,294905.907886,-1.239992,0.217194737873272
mvpa_20m15sEven_T2,220499178.018952,181520762.778892,-135281517.027676,576279873.06558,1.214733,0.226653134560068
homa_T2,-21153175.649606,18834837.635695,-58069457.415569,15763106.116356,-1.123088,0.263486046067489
Vigorous_20m15sEven_T2,109262231.736301,97810965.290931,-82447260.233924,300971723.706526,1.117075,0.266006659480924
DBP_T1,97720887.70941,89866520.90315,-78417493.260763,273859268.679584,1.0874,0.27885657700451
insulin_T2,-86247295.320075,80013763.380189,-243074271.545246,70579680.905096,-1.077906,0.283087332452125
dbp_T2,-108806420.299893,106876076.43759,-318283530.11757,100670689.517783,-1.018062,0.31061513663596
Iron__ug_dl__T1,280227727.710611,305076846.783924,-317722891.98588,878178347.407103,0.918548,0.360020198692313
Ferritin__ng_ml__T1,-184841909.45315,218020487.259323,-612162064.481422,242478245.575122,-0.847819,0.398085172475898
Altered_components_Metabolic_Syndrome,-7684780.406094,9066211.844063,-25454555.620457,10084994.808268,-0.847629,0.398277961819517
hdl_T2,-96638175.797885,127652855.163367,-346837771.918084,153561420.322314,-0.757039,0.450417835788782
pubertalstage_T2,0,0,0,0,0.753085,0.452750136347882
tg_T2,254853096.610857,338585879.653807,-408775227.510605,918481420.73232,0.752699,0.45301315279071
Moderate_20m15sEven_T1,71448200.28932,112684494.206354,-149413408.355133,292309808.933773,0.634055,0.527150351549112
Sedentary_20m15sEven_T2,-600922777.771223,1115023982.08445,-2786369782.65675,1584524227.1143,-0.538933,0.590848059000452
glucose_T2,-100115702.555984,198897097.704277,-489954014.056367,289722608.944399,-0.503354,0.615560547087101
Leptin__ug_l__T1,-48090669.181813,96523445.096763,-237276621.571469,141095283.207842,-0.498228,0.619158886859822
Urea__mg_dl__T1,-27559641.029401,62133263.77584,-149340838.030048,94221555.971246,-0.443557,0.65809465533103
Vigorous_20m15sEven_T1,-160707523.52906,413126261.232001,-970434995.543783,649019948.485663,-0.389003,0.697905204338128
Glucose__mg_dl__T1,26099995.124141,72177845.327061,-115368581.716899,167568571.96518,0.361607,0.718228512191536
Protein__g_dl__T1,1324765.173547,3854194.849597,-6229456.731663,8878987.078757,0.34372,0.731607670307139
Alkaline_phos_U_l__T1,399959831.064096,1169267727.97692,-1891804915.77067,2691724577.89886,0.34206,0.732853818428677
mvpa_20m15sEven_T1,-135260548.907096,416966877.179616,-952515628.179143,681994530.364952,-0.324392,0.746158985279713
WC_T1,28837724.450199,96953875.519103,-161191871.567244,218867320.467641,0.297438,0.766603622999037
Obesity_Cole,1943583.661359,7079036.733286,-11931328.335882,15818495.6586,0.274555,0.784090783118845
sbp_T2,34906217.1665,138371002.691469,-236300948.108779,306113382.441779,0.252265,0.801250252425532
GGT_U_l__T1,-9228315.297543,37516284.626625,-82760233.165728,64303602.570642,-0.245982,0.806081473959329
Uric_acid__mg_dl__T1,-1858957.131536,8924554.971822,-19351084.876307,15633170.613235,-0.208297,0.835320659595843
Light_20m15sEven_T2,-81822822.392228,481529369.736496,-1025620387.07576,861974742.291303,-0.169923,0.865332979585617
HDLc__mg_dl__T1,-20551954.094137,126739114.801799,-268960619.105663,227856710.91739,-0.16216,0.871430090422553
Sedentary_20m15sEven_T1,-77553924.752054,694709903.066024,-1439185334.76146,1284077485.25735,-0.111635,0.911283704518609
wc_T2,7409401.143195,72743471.663495,-135167803.317256,149986605.603645,0.101857,0.919029904502872
Creatinine__mg_dl__T1,79946.292175,801113.367778,-1490235.90867,1650128.49302,0.099794,0.920660443965555
Light_20m15sEven_T1,-45264288.511351,494442724.058793,-1014372027.66659,923843450.643884,-0.091546,0.927198541145895
quicki_T2,12631.94592,281603.038516,-539310.009572,564573.901412,0.044857,0.964290433303549
WC_Height_T1,-11195.841151,591660.621124,-1170850.658553,1148458.976251,-0.018923,0.984931528155643
VARIABLE,beta,SE,ci.lo,ci.hi,t-value,pvalue
VARIABLE,beta,SE,ci.lo,ci.hi,t-value,pvalue
VARIABLE,beta,SE,ci.lo,ci.hi,t-value,pvalue
VARIABLE,beta,SE,ci.lo,ci.hi,t-value,pvalue
VARIABLE,beta,SE,ci.lo,ci.hi,t-value,pvalue
VARIABLE,beta,SE,ci.lo,ci.hi,t-value,pvalue
VARIABLE,beta,SE,ci.lo,ci.hi,t-value,pvalue
VARIABLE,beta,SE,ci.lo,ci.hi,t-value,pvalue
VARIABLE,beta,SE,ci.lo,ci.hi,t-value,pvalue
VARIABLE,beta,SE,ci.lo,ci.hi,t-value,pvalue
VARIABLE,beta,SE,ci.lo,ci.hi,t-value,pvalue
VARIABLE,beta,SE,ci.lo,ci.hi,t-value,pvalue
VARIABLE,beta,SE,ci.lo,ci.hi,t-value,pvalue
VARIABLE,beta,SE,ci.lo,ci.hi,t-value,pvalue
VARIABLE,beta,SE,ci.lo,ci.hi,t-value,pvalue
VARIABLE,beta,SE,ci.lo,ci.hi,t-value,pvalue
VARIABLE,beta,SE,ci.lo,ci.hi,t-value,pvalue
VARIABLE,beta,SE,ci.lo,ci.hi,t-value,pvalue
VARIABLE,beta,SE,ci.lo,ci.hi,t-value,pvalue
VARIABLE,beta,SE,ci.lo,ci.hi,t-value,pvalue
VARIABLE,beta,SE,ci.lo,ci.hi,t-value,pvalue
VARIABLE,beta,SE,ci.lo,ci.hi,t-value,pvalue
VARIABLE,beta,SE,ci.lo,ci.hi,t-value,pvalue
VARIABLE,beta,SE,ci.lo,ci.hi,t-value,pvalue
VARIABLE,beta,SE,ci.lo,ci.hi,t-value,pvalue
VARIABLE,beta,SE,ci.lo,ci.hi,t-value,pvalue
VARIABLE,beta,SE,ci.lo,ci.hi,t-value,pvalue
VARIABLE,beta,SE,ci.lo,ci.hi,t-value,pvalue
VARIABLE,beta,SE,ci.lo,ci.hi,t-value,pvalue
VARIABLE,beta,SE,ci.lo,ci.hi,t-value,pvalue
VARIABLE,beta,SE,ci.lo,ci.hi,t-value,pvalue
VARIABLE,beta,SE,ci.lo,ci.hi,t-value,pvalue
VARIABLE,beta,SE,ci.lo,ci.hi,t-value,pvalue
VARIABLE,beta,SE,ci.lo,ci.hi,t-value,pvalue
VARIABLE,beta,SE,ci.lo,ci.hi,t-value,pvalue
VARIABLE,beta,SE,ci.lo,ci.hi,t-value,pvalue
VARIABLE,beta,SE,ci.lo,ci.hi,t-value,pvalue
VARIABLE,beta,SE,ci.lo,ci.hi,t-value,pvalue
VARIABLE,beta,SE,ci.lo,ci.hi,t-value,pvalue
VARIABLE,beta,SE,ci.lo,ci.hi,t-value,pvalue
VARIABLE,beta,SE,ci.lo,ci.hi,t-value,pvalue
VARIABLE,beta,SE,ci.lo,ci.hi,t-value,pvalue
VARIABLE,beta,SE,ci.lo,ci.hi,t-value,pvalue
VARIABLE,beta,SE,ci.lo,ci.hi,t-value,pvalue
VARIABLE,beta,SE,ci.lo,ci.hi,t-value,pvalue
VARIABLE,beta,SE,ci.lo,ci.hi,t-value,pvalue
VARIABLE,beta,SE,ci.lo,ci.hi,t-value,pvalue
VARIABLE,beta,SE,ci.lo,ci.hi,t-value,pvalue
VARIABLE,beta,SE,ci.lo,ci.hi,t-value,pvalue
