VARIABLE,beta,SE,ci.lo,ci.hi,t-value,pvalue
TAG__mg_dl__T1,47372725.064002,14796310.637133,18371956.215222,76373493.912782,3.201658,0.001715047089625
HDLc__mg_dl__T1,-20389018.758649,7276492.837922,-34650944.720976,-6127092.796323,-2.802039,0.005849049033442
Moderate_20m15sEven_T2,-19118701.227057,6875970.986172,-32595604.359954,-5641798.09416,-2.780509,0.006227685684157
hdl_T2,-19061054.449075,7393308.068798,-33551938.263919,-4570170.634231,-2.57815,0.011064866042728
bmi_zscore_T2,2194314.201189,960639.450566,311460.878079,4077167.524298,2.284222,0.023954743352921
bmi_T2,7671716.911083,3478056.351366,854726.462406,14488707.35976,2.205748,0.029131990973097
mvpa_20m15sEven_T2,-20982930.992489,10631716.867989,-41821096.053748,-144765.93123,-1.973616,0.050529857219787
BMIz__Orbegozo__T1,1969761.650571,1064772.689177,-117192.820216,4056716.121358,1.849936,0.066558925352671
Iron__ug_dl__T1,32504093.375179,17864521.360796,-2510368.491981,67518555.242339,1.819477,0.071122105401233
GGT_U_l__T1,3973848.058788,2190480.906909,-319494.518754,8267190.636329,1.814144,0.071944019928397
Obesity_Cole,741996.765254,413459.036787,-68382.946849,1552376.477357,1.794608,0.075022253054738
Light_20m15sEven_T2,-43120402.381794,28212387.056926,-98416681.013368,12175876.249781,-1.528421,0.128819102861485
tg_T2,29938358.189117,19937337.789974,-9138823.879231,69015540.257466,1.501623,0.135657497458224
Sedentary_20m15sEven_T2,-84469716.358352,65559863.390669,-212967048.604063,44027615.887359,-1.288436,0.199865033971216
glucose_T2,-13919293.177042,11703704.651374,-36858554.293735,9019967.939652,-1.189307,0.23647025310149
dbp_T2,7123897.153454,6073353.007607,-4779874.741457,19027669.048364,1.172976,0.24303582890601
Alkaline_phos_U_l__T1,75421956.206373,68822991.151176,-59471106.449932,210315018.862677,1.095883,0.275140515092716
Protein__g_dl__T1,-228175.973006,227022.400535,-673139.878054,216787.932042,-1.005081,0.316710603507696
Sedentary_20m15sEven_T1,40450521.752797,40908811.082296,-39730747.968503,120631791.474097,0.988797,0.324585162387632
SBP_T1,-6525153.029463,7238682.705671,-20712971.132579,7662665.073653,-0.901428,0.369014982788756
weight_T2,3825219.872737,4292054.535269,-4587207.016391,12237646.761865,0.891233,0.374438278471517
WC_T1,4983146.31773,5715612.857337,-6219454.88265,16185747.518111,0.871848,0.384886325103788
Altered_components_Metabolic_Health,532298.642582,638740.379505,-719632.501248,1784229.786412,0.833357,0.40624587678097
pubertalstage_T2,0,0,0,0,-0.803813,0.422961156963137
bmi_T2,-240862.026228,319544.391801,-867169.034158,385444.981703,-0.753767,0.452341804158526
LDLc__mg_dl__T1,11376297.422902,15951646.189888,-19888929.109278,42641523.955082,0.713174,0.477006689436982
Glucose__mg_dl__T1,-2897676.674903,4260519.147148,-11248294.203314,5452940.853507,-0.680123,0.497626826310987
Altered_components_Metabolic_Syndrome,344066.693327,534422.38258,-703401.176529,1391534.563183,0.64381,0.520887383447694
mvpa_20m15sEven_T1,14418095.544223,24621562.881901,-33840167.704302,62676358.792748,0.585588,0.559159766797139
Vigorous_20m15sEven_T1,13242904.178806,24403565.156744,-34588083.528412,61073891.886024,0.542663,0.588284115018968
Ferritin__ng_ml__T1,-6522175.784661,12908332.379826,-31822507.24912,18778155.679798,-0.505269,0.614219180234533
Leptin__ug_l__T1,2602978.293374,5705668.694464,-8580132.347776,13786088.934525,0.456209,0.648995012274795
sbp_T2,-3409757.706375,7869765.087044,-18834497.27698,12014981.864231,-0.433273,0.665563105207308
quicki_T2,-7035.80963,16672.798018,-39714.493745,25642.874484,-0.421993,0.673732323067042
Vigorous_20m15sEven_T2,-2258524.032231,5805008.018357,-13636339.748211,9119291.683749,-0.389065,0.697859933294975
Insulin__mU_l__T1,1069854.237749,3540204.314348,-5868946.218374,8008654.693871,0.302201,0.762977906097113
HOMA_T1,215664.214583,768853.010005,-1291287.685027,1722616.114194,0.280501,0.779535476299979
DBP_T1,-1495724.972669,5333670.946024,-11949720.026876,8958270.081537,-0.280431,0.779589476573174
Urea__mg_dl__T1,-920938.970766,3674119.691374,-8122213.565859,6280335.624326,-0.250656,0.802473035520305
Moderate_20m15sEven_T1,1669108.287259,6668575.873904,-11401300.425593,14739517.00011,0.250295,0.80275167006801
WC_Height_T1,-8608.192996,34960.703305,-77131.171475,59914.785482,-0.246225,0.805893591013107
wc_T2,916622.162122,4187271.430789,-7290429.842225,9123674.166469,0.218907,0.827071319489105
Uric_acid__mg_dl__T1,-112750.643386,527460.718192,-1146573.651043,921072.364272,-0.213761,0.83106561644398
QUICKI_T1,-4770.351071,24345.798275,-52488.115691,42947.413548,-0.195941,0.844959611519182
Creatinine__mg_dl__T1,-7626.947733,47345.079276,-100423.303114,85169.407648,-0.161093,0.872268542149937
insulin_T2,-556681.183962,4761634.586503,-9889484.973507,8776122.605583,-0.11691,0.907113444988577
homa_T2,-101935.816009,1121316.421996,-2299716.003121,2095844.371103,-0.090907,0.927707279793856
CHOL__mg_dl__T1,-1606985.970775,18536244.205964,-37938024.614466,34724052.672915,-0.086694,0.931046911929777
Light_20m15sEven_T1,971315.285053,29223715.08718,-56307166.28582,58249796.855925,0.033237,0.973535999556192
VARIABLE,beta,SE,ci.lo,ci.hi,t-value,pvalue
VARIABLE,beta,SE,ci.lo,ci.hi,t-value,pvalue
VARIABLE,beta,SE,ci.lo,ci.hi,t-value,pvalue
VARIABLE,beta,SE,ci.lo,ci.hi,t-value,pvalue
VARIABLE,beta,SE,ci.lo,ci.hi,t-value,pvalue
VARIABLE,beta,SE,ci.lo,ci.hi,t-value,pvalue
VARIABLE,beta,SE,ci.lo,ci.hi,t-value,pvalue
VARIABLE,beta,SE,ci.lo,ci.hi,t-value,pvalue
VARIABLE,beta,SE,ci.lo,ci.hi,t-value,pvalue
VARIABLE,beta,SE,ci.lo,ci.hi,t-value,pvalue
VARIABLE,beta,SE,ci.lo,ci.hi,t-value,pvalue
VARIABLE,beta,SE,ci.lo,ci.hi,t-value,pvalue
VARIABLE,beta,SE,ci.lo,ci.hi,t-value,pvalue
VARIABLE,beta,SE,ci.lo,ci.hi,t-value,pvalue
VARIABLE,beta,SE,ci.lo,ci.hi,t-value,pvalue
VARIABLE,beta,SE,ci.lo,ci.hi,t-value,pvalue
VARIABLE,beta,SE,ci.lo,ci.hi,t-value,pvalue
VARIABLE,beta,SE,ci.lo,ci.hi,t-value,pvalue
VARIABLE,beta,SE,ci.lo,ci.hi,t-value,pvalue
VARIABLE,beta,SE,ci.lo,ci.hi,t-value,pvalue
VARIABLE,beta,SE,ci.lo,ci.hi,t-value,pvalue
VARIABLE,beta,SE,ci.lo,ci.hi,t-value,pvalue
VARIABLE,beta,SE,ci.lo,ci.hi,t-value,pvalue
VARIABLE,beta,SE,ci.lo,ci.hi,t-value,pvalue
VARIABLE,beta,SE,ci.lo,ci.hi,t-value,pvalue
VARIABLE,beta,SE,ci.lo,ci.hi,t-value,pvalue
VARIABLE,beta,SE,ci.lo,ci.hi,t-value,pvalue
VARIABLE,beta,SE,ci.lo,ci.hi,t-value,pvalue
VARIABLE,beta,SE,ci.lo,ci.hi,t-value,pvalue
VARIABLE,beta,SE,ci.lo,ci.hi,t-value,pvalue
VARIABLE,beta,SE,ci.lo,ci.hi,t-value,pvalue
VARIABLE,beta,SE,ci.lo,ci.hi,t-value,pvalue
VARIABLE,beta,SE,ci.lo,ci.hi,t-value,pvalue
VARIABLE,beta,SE,ci.lo,ci.hi,t-value,pvalue
VARIABLE,beta,SE,ci.lo,ci.hi,t-value,pvalue
VARIABLE,beta,SE,ci.lo,ci.hi,t-value,pvalue
VARIABLE,beta,SE,ci.lo,ci.hi,t-value,pvalue
VARIABLE,beta,SE,ci.lo,ci.hi,t-value,pvalue
