VARIABLE,beta,SE,ci.lo,ci.hi,t-value,pvalue
Protein__g_dl__T1,-7186757.168466,2598637.172451,-12280086.02647,-2093428.310461,-2.765587,0.006503070211452
TAG__mg_dl__T1,416088439.473199,176532550.17918,70084641.122007,762092237.824391,2.357007,0.019904450402634
HDLc__mg_dl__T1,-196787231.733013,86182161.761877,-365704268.786292,-27870194.679734,-2.283387,0.024017622898836
BMIz__Orbegozo__T1,26271616.689929,12675953.213219,1426748.392021,51116484.987838,2.072556,0.040159407442212
weight_T2,87691073.438454,49917457.770129,-10147143.791,185529290.667907,1.756722,0.081301819521931
mvpa_20m15sEven_T1,411532362.624751,286966710.182156,-150922389.332275,973987114.581776,1.434077,0.153933012364625
Urea__mg_dl__T1,-59970233.391848,42791416.350219,-143841409.438278,23900942.654581,-1.401455,0.16344287473985
LDLc__mg_dl__T1,257323166.370682,186136985.015829,-107505324.260343,622151657.001708,1.38244,0.169189065508891
hdl_T2,-122244746.641744,89029634.126095,-296742829.52889,52253336.245403,-1.373079,0.172128301210331
Vigorous_20m15sEven_T1,385730548.923277,284608584.561553,-172102276.817368,943563374.663922,1.355302,0.177653642713099
WC_Height_T1,549722.438191,407393.420051,-248768.665109,1348213.54149,1.349365,0.179547219069874
quicki_T2,255513.19221,193453.35692,-123655.387354,634681.771773,1.3208,0.188906363541768
insulin_T2,-72757085.824494,55215487.445159,-180979441.217006,35465269.568018,-1.317693,0.189941666684926
GGT_U_l__T1,-33175358.465301,25855093.579386,-83851341.880898,17500624.950295,-1.283127,0.201713109329311
homa_T2,-15369049.538448,13019493.517918,-40887256.833567,10149157.756671,-1.180464,0.239987611383341
Light_20m15sEven_T2,382340078.11197,332218861.425021,-268808890.281072,1033489046.50501,1.150868,0.251882866466316
Obesity_Cole,5276077.304729,4887810.132674,-4304030.555311,14856185.16477,1.079436,0.28237691773508
SBP_T1,-89528041.869408,84819186.308184,-255773647.033449,76717563.294633,-1.055516,0.29313196520017
Sedentary_20m15sEven_T2,-772445955.185641,770984581.918703,-2283575735.7463,738683825.375017,-1.001895,0.318241145750116
bmi_T2,3499070.127356,3744198.315606,-3839558.571232,10837698.825944,0.934531,0.351749381457516
sbp_T2,-87575832.177751,93884027.707777,-271588526.484994,96436862.129492,-0.932809,0.352717068887417
CHOL__mg_dl__T1,198391911.874698,216760826.749666,-226459308.554647,623243132.304043,0.915257,0.361738290321186
wc_T2,45096394.692702,49440952.509441,-51807872.225803,142000661.611206,0.912126,0.363416918043068
mvpa_20m15sEven_T2,98892094.532253,126264787.627013,-148586889.216692,346371078.281198,0.783212,0.434916299556489
Vigorous_20m15sEven_T2,52278381.381655,67983943.460252,-80970147.800439,185526910.56375,0.768981,0.443288616870755
DBP_T1,-47862771.20336,62447594.861549,-170260057.131997,74534514.725276,-0.766447,0.444789338182514
WC_T1,49135542.24413,67106258.552819,-82392724.519394,180663809.007655,0.732205,0.465351382277919
bmi_T2,29530535.530156,42219439.233422,-53219565.367352,112280636.427663,0.699454,0.485499388034409
tg_T2,-161159384.530514,237441597.017824,-626544914.685449,304226145.624421,-0.678733,0.498532560806446
bmi_zscore_T2,0,0,0,0,0.668174,0.505198265469216
bmi_zscore_T2,7230216.127163,11680690.499269,-15663937.251405,30124369.505732,0.618989,0.536990562264217
pubertalstage_T2,0,0,0,0,0.609885,0.542994515207983
Moderate_20m15sEven_T1,40994059.888516,78164978.920778,-112209298.796208,194197418.573239,0.524456,0.600848023254136
Ferritin__ng_ml__T1,-75418078.523384,151430338.825646,-372221542.621651,221385385.574883,-0.498038,0.619292258070299
Sedentary_20m15sEven_T1,-229797058.247854,481265444.075762,-1173077328.63635,713483212.140638,-0.477485,0.633812459998857
HOMA_T1,4281511.99717,9014275.445057,-13386467.875141,21949491.869481,0.47497,0.635599145894633
Glucose__mg_dl__T1,22697193.272455,50028532.257513,-75358729.95227,120753116.49718,0.453685,0.650806269558465
Leptin__ug_l__T1,29529890.078206,66935982.871036,-101664636.349024,160724416.505437,0.441166,0.659819974274519
Insulin__mU_l__T1,16879091.502081,41518017.606282,-64496223.006232,98254406.010393,0.406549,0.685002974818531
Uric_acid__mg_dl__T1,-2355838.084794,6185235.879518,-14478900.408649,9767224.239061,-0.380881,0.703908602923745
Moderate_20m15sEven_T2,24750274.32576,82979123.086939,-137888806.924639,187389355.57616,0.298271,0.765968831611534
dbp_T2,-19959850.200729,73027474.273642,-163093699.777068,123173999.37561,-0.27332,0.785058513664644
Alkaline_phos_U_l__T1,-205849485.07699,810847433.009663,-1795110453.77593,1383411483.62195,-0.25387,0.799994353618288
Altered_components_Metabolic_Syndrome,1382225.274158,6417397.093122,-11195873.02836,13960323.576677,0.215387,0.829819306806613
Iron__ug_dl__T1,-34893032.196618,212176188.730146,-450758362.107704,380972297.714468,-0.164453,0.869627942468773
Altered_components_Metabolic_Health,-1207784.439449,7629615.666883,-16161831.146541,13746262.267642,-0.158302,0.874476241892221
Light_20m15sEven_T1,-46815605.241296,342797064.655936,-718697851.966931,625066641.48434,-0.136569,0.891580787838499
glucose_T2,-18303037.987926,138024760.592582,-288831568.749387,252225492.773535,-0.132607,0.89470773311294
QUICKI_T1,11727.477059,285637.753602,-548122.52,571577.474119,0.041057,0.967312830502358
