VARIABLE	beta	SE	ci.lo	ci.hi	z-value	pvalue	OR
Obesity_Orbergozo	28408.761209	14784.714448	-569.279109	57386.801526	1.921495	0.0546692782703096	Inf
VARIABLE	beta	SE	ci.lo	ci.hi	z-value	pvalue	OR
Obesity_WC	26178.131513	16982.469158	-7107.508036	59463.771062	1.54148	0.123200079085733	Inf
VARIABLE	beta	SE	ci.lo	ci.hi	z-value	pvalue	OR
TG_R	-47757.380886	23158.013329	-93147.087011	-2367.674762	-2.06224	0.039184894351322	0
VARIABLE	beta	SE	ci.lo	ci.hi	z-value	pvalue	OR
HDL_R	21614.456408	30698.35626	-38554.321863	81783.234678	0.704092	0.481375697847668	Inf
VARIABLE	beta	SE	ci.lo	ci.hi	z-value	pvalue	OR
Glucose_R	21744.430919	26553.383935	-30300.201593	73789.063432	0.818895	0.41284637483091	Inf
VARIABLE	beta	SE	ci.lo	ci.hi	z-value	pvalue	OR
HOMA_R	-1631.111584	16297.765651	-33574.73226	30312.509092	-0.100082	0.920279293587873	0
VARIABLE	beta	SE	ci.lo	ci.hi	z-value	pvalue	OR
Metabolic_Health_Status	26674.258862	14738.053894	-2212.32677	55560.844494	1.80989	0.0703128208923056	Inf
VARIABLE	beta	SE	ci.lo	ci.hi	z-value	pvalue	OR
Metabolic_Syndrome_Cole	9242.362897	22416.377174	-34693.736363	53178.462158	0.412304	0.680116586985649	Inf
VARIABLE	beta	SE	ci.lo	ci.hi	z-value	pvalue	OR
Metabolic_Syndrome_Orbergozo	9242.362897	22416.377174	-34693.736363	53178.462158	0.412304	0.680116586985649	Inf
VARIABLE	beta	SE	ci.lo	ci.hi	z-value	pvalue	OR
Metabolic_Syndrome_Wc	-1016.085896	19941.9617	-40102.330829	38070.159037	-0.050952	0.959363646870056	0
VARIABLE	beta	SE	ci.lo	ci.hi	z-value	pvalue	OR
Metabolic_Syndrome_2COMP	-3293.720482	18473.268128	-39501.326014	32913.88505	-0.178297	0.858490066537364	0
VARIABLE	beta	SE	ci.lo	ci.hi	z-value	pvalue	OR
DBP_R	-5218.694751	17692.211105	-39895.428518	29458.039015	-0.294971	0.768015793614735	0
VARIABLE	beta	SE	ci.lo	ci.hi	z-value	pvalue	OR
SBP_R	-28304.611698	21966.03852	-71358.047196	14748.823801	-1.288562	0.197550256135063	0
